CaseID,Prefix length,Groud truth,Predicted,Levenshtein,Damerau,Jaccard,Ground truth times,Predicted times,RMSE,MAE
3087,2,§,§,1.0,1.0,1.0,256462,25152.14237628303,,231309.85762371696
3088,2,©,©,1.0,1.0,1.0,14,20602.497225883784,,20588.497225883784
3089,2,ª,§,0.0,0.0,0.0,355698,26047.39507085412,,329650.6049291459
3090,2,§,§,1.0,1.0,1.0,1800,18962.110222806725,,17162.110222806725
3091,2,§,§,1.0,1.0,1.0,511775,17329.886866534387,,494445.11313346564
3092,2,§,§,1.0,1.0,1.0,8322,17098.553159167706,,8776.553159167706
3093,2,§,§,1.0,1.0,1.0,63707,19265.445880692278,,44441.55411930772
3094,2,§,§,1.0,1.0,1.0,1200770,17324.10709888323,,1183445.8929011167
3095,2,§,§,1.0,1.0,1.0,355,17628.220621093773,,17273.220621093773
3096,2,§,§,1.0,1.0,1.0,2073582,24146.56023445252,,2049435.4397655474
3098,2,§,§,1.0,1.0,1.0,1834,17099.659455096586,,15265.659455096586
3099,2,ª,§,0.0,0.0,0.0,47,24850.387590136757,,24803.387590136757
3100,2,ª,§,0.0,0.0,0.0,6931,17436.33642082733,,10505.33642082733
3101,2,§,§,1.0,1.0,1.0,3060,20234.90211753843,,17174.90211753843
3102,2,ª,§,0.0,0.0,0.0,3359,22259.478667894025,,18900.478667894025
3104,2,§,§,1.0,1.0,1.0,603250,17098.823447377603,,586151.1765526223
3105,2,ª,§,0.0,0.0,0.0,182513,17098.207441689934,,165414.79255831006
3106,2,§,§,1.0,1.0,1.0,1468099,17098.234156222305,,1451000.7658437777
3107,2,§,§,1.0,1.0,1.0,101552,17098.183870043722,,84453.81612995628
3109,2,§,§,1.0,1.0,1.0,9496,18513.306078932128,,9017.306078932128
3110,2,ª,§,0.0,0.0,0.0,497858,12994.138691077336,,484863.86130892264
3111,2,§,§,1.0,1.0,1.0,422936,17098.28444240089,,405837.7155575991
3114,2,©,§,0.0,0.0,0.0,432095,17686.8983057306,,414408.1016942694
3115,2,ª,§,0.0,0.0,0.0,1492131,18419.67321440613,,1473711.3267855938
3116,2,§,§,1.0,1.0,1.0,15,17101.427328562477,,17086.427328562477
3117,2,§,§,1.0,1.0,1.0,265,19405.254028704305,,19140.254028704305
3119,2,¢,©,0.0,0.0,0.0,0,21960.59647969944,,21960.59647969944
3120,2,§,§,1.0,1.0,1.0,13,17464.744968841915,,17451.744968841915
3122,2,ª,§,0.0,0.0,0.0,491887,22835.357556496983,,469051.642443503
3123,2,§,§,1.0,1.0,1.0,19877,24220.836063109302,,4343.836063109302
3124,2,§,§,1.0,1.0,1.0,6364,17098.57673081392,,10734.576730813918
3125,2,§,§,1.0,1.0,1.0,191661,22071.442931732447,,169589.55706826755
3127,2,§,§,1.0,1.0,1.0,1443966,17098.207441689934,,1426867.79255831
3129,2,§,§,1.0,1.0,1.0,1821440,18572.41433897309,,1802867.5856610269
3130,2,©,©,1.0,1.0,1.0,283515,21974.269605945425,,261540.73039405458
3131,2,ª,§,0.0,0.0,0.0,65713,17098.8973052024,,48614.1026947976
3132,2,§,§,1.0,1.0,1.0,84,17098.45730113978,,17014.45730113978
3133,2,§,§,1.0,1.0,1.0,250346,18582.5344324134,,231763.4655675866
3134,2,§,§,1.0,1.0,1.0,256137,19254.69721001965,,236882.30278998034
3135,2,£,§,0.0,0.0,0.0,1910237,17098.407014961194,,1893138.5929850389
3136,2,§,§,1.0,1.0,1.0,326315,17099.4865963577,,309215.5134036423
3137,2,¢,©,0.0,0.0,0.0,2,10505.553499318925,,10503.553499318925
3138,2,ª,§,0.0,0.0,0.0,237438,30604.165144181683,,206833.8348558183
3140,2,§,§,1.0,1.0,1.0,115,17109.242115003264,,16994.242115003264
3141,2,§,§,1.0,1.0,1.0,1023148,24958.37873009196,,998189.621269908
3143,2,ª,§,0.0,0.0,0.0,172828,25930.608563975715,,146897.39143602428
