CaseID,Prefix length,Groud truth,Predicted,Levenshtein,Damerau,Jaccard,Ground truth times,Predicted times,RMSE,MAE
3087,2,§,§,1.0,1.0,1.0,256462,57368.484302516976,,199093.51569748303
3088,2,©ª©§,©§,0.5,0.5,0.6666666666666666,1888363,81642.39273767392,,1806720.6072623262
3089,2,ª§,§,0.5,0.5,0.5,520705,57684.14584557402,,463020.85415442596
3090,2,§,§,1.0,1.0,1.0,1800,43758.44389144037,,41958.44389144037
3091,2,§§,§,0.5,0.5,1.0,511776,42257.365116158755,,469518.63488384127
3092,2,§,§,1.0,1.0,1.0,8322,42205.92852045878,,33883.92852045878
3093,2,§,§,1.0,1.0,1.0,63707,43221.737061568325,,20485.262938431675
3094,2,§,§,1.0,1.0,1.0,1200770,42437.33728848039,,1158332.6627115195
3095,2,§,§,1.0,1.0,1.0,355,42430.55826009123,,42075.55826009123
3096,2,§,§,1.0,1.0,1.0,2073582,48169.55131742494,,2025412.448682575
3098,2,§,§,1.0,1.0,1.0,1834,42293.2942688517,,40459.2942688517
3099,2,ª§,§,0.5,0.5,0.5,967517,50941.336750317656,,916575.6632496824
3100,2,ª©§,§,0.33333333333333337,0.33333333333333337,0.33333333333333326,3024662,42229.79263466332,,2982432.207365337
3101,2,§,§,1.0,1.0,1.0,3060,44360.9462844118,,41300.9462844118
3102,2,ª§,§,0.5,0.5,0.5,14445,45688.040072052536,,31243.040072052536
3104,2,§,§,1.0,1.0,1.0,603250,42272.848380731935,,560977.1516192681
3105,2,ª§,§,0.5,0.5,0.5,795902,42208.98104773165,,753693.0189522684
3106,2,§§,§,0.5,0.5,1.0,1468100,42438.91190898451,,1425661.0880910156
3107,2,§,§,1.0,1.0,1.0,101552,42265.062925034,,59286.937074966
3109,2,§,§,1.0,1.0,1.0,9496,43101.18943502804,,33605.18943502804
3110,2,ª§,§,0.5,0.5,0.5,1187727,57829.99015852413,,1129897.0098414759
3111,2,§,§,1.0,1.0,1.0,422936,42219.8432091363,,380716.1567908637
